rank,lemma,PoS,perMil
864,box,n,112.82
865,present,v,112.52
866,figure,v,112.43
867,seven,m,112.43
868,foreign,j,112.29
869,laugh,v,112.22
870,disease,n,112.22
871,lady,n,112.17
872,beyond,i,112.00
873,discuss,v,111.96
874,finish,v,111.87
875,design,n,111.81
876,concern,n,111.76
877,ball,n,111.55
878,east,n,111.37
879,recognize,v,111.18
880,apply,v,111.10
881,prepare,v,111.04
882,network,n,110.98
883,huge,j,110.86
884,success,n,110.80
885,district,n,110.71
886,cup,n,112.65
887,name,v,110.62
888,physical,j,110.35
889,growth,n,110.34
890,rise,v,109.80
891,hi,u,109.43
892,standard,n,108.58
893,force,v,108.39
894,sign,v,108.39
895,fan,n,108.39
896,theory,n,108.24
897,staff,n,108.15
898,hurt,v,108.02
899,legal,j,107.89
900,september,n,107.68
901,set,n,107.67
902,outside,i,107.32
903,et,r,107.29
904,strategy,n,106.98
905,clearly,r,106.71
906,property,n,106.59
907,lay,v,106.56
908,final,j,106.43
909,authority,n,106.33
910,perfect,j,106.30
911,method,n,106.29
912,region,n,106.12
913,since,i,106.11
914,impact,n,106.07
915,indicate,v,106.04
916,safe,j,105.67
917,committee,n,105.87
918,supposed,j,105.78
919,dream,n,105.53
920,training,n,105.30
921,shit,n,105.23
922,central,j,105.14
923,option,n,104.98
924,eight,m,104.79
925,particularly,r,104.75
926,completely,r,104.67
927,opinion,n,104.65
928,main,j,104.53
929,ten,m,104.41
930,interview,n,104.29
931,exist,v,104.28
932,remove,v,104.21
933,dark,j,104.11
934,play,n,104.08
935,union,n,103.53
936,professor,n,103.46
937,pressure,n,103.39
938,purpose,n,103.36
939,stage,n,103.33
940,blue,j,102.89
941,herself,p,102.87
942,sun,n,102.76
943,pain,n,102.63
944,artist,n,102.58
945,employee,n,102.53
946,avoid,v,102.51
947,account,n,102.40
948,release,v,102.38
949,fund,n,102.22
950,environment,n,102.19
951,treat,v,102.15
952,specific,j,101.93
953,version,n,101.80
954,shot,n,101.73
955,hate,v,101.46
956,reality,n,101.41
957,visit,v,101.17
958,club,n,101.12
959,justice,n,101.07
960,river,n,100.97
961,brain,n,100.94
962,memory,n,100.94
963,rock,n,100.73
964,talk,n,100.69
965,camera,n,100.56
966,global,j,100.55
967,various,j,100.54
968,arrive,v,100.52
969,notice,v,100.41
970,bit,r,100.22
971,detail,n,100.18
972,challenge,n,100.15
973,argument,n,100.10
974,lot,r,99.98
975,nobody,p,99.72
976,weapon,n,99.52
977,best,r,99.50
978,station,n,99.41
979,island,n,99.29
980,absolutely,r,99.27
981,instead,r,99.23
982,discussion,n,99.05
983,instead,i,98.92
984,affect,v,98.76
985,design,v,98.66
986,little,d,98.55
987,anyway,r,98.52
988,respond,v,98.44
989,control,v,98.19
990,trouble,n,98.12
991,conversation,n,97.88
992,manage,v,97.82
993,close,r,97.80
994,date,n,97.78
995,public,n,97.71
996,army,n,97.71
997,top,j,97.68
998,post,v,97.61
999,charge,n,97.55
1000,seat,n,97.53
1001,assume,v,97.52
1002,writer,n,96.96
1003,perform,v,96.88
1004,credit,n,96.66
1005,green,j,96.61
1006,marriage,n,96.56
1007,operation,n,96.55
1008,indeed,r,96.53
1009,sleep,v,96.27
1010,necessary,j,96.25
1011,reveal,v,96.07
1012,agent,n,96.04
1013,access,n,96.04
1014,bar,n,95.97
1015,debate,n,95.91
1016,leg,n,95.85
1017,contain,v,95.81
1018,beat,v,95.61
1019,cool,j,91.40
1020,democratic,j,95.53
1021,cold,j,95.52
1022,glass,n,95.47
1023,improve,v,95.43
1024,adult,n,95.21
1025,trade,n,95.17
1026,religious,j,95.15
1027,head,v,95.07
1028,review,n,95.03
1029,kind,r,95.00
1030,address,v,94.82
1031,association,n,94.76
1032,measure,n,94.61
1033,stock,n,94.47
1034,gas,n,94.42
1035,deep,j,94.41
1036,lawyer,n,94.18
1037,production,n,94.16
1038,relate,v,94.09
1039,middle,j,94.08
1040,management,n,93.94
1041,original,j,93.89
1042,victim,n,93.86
1043,cancer,n,93.81
1044,speech,n,93.49
1045,particular,j,93.43
1046,trial,n,93.41
1047,none,p,93.38
1048,item,n,93.14
1049,weight,n,93.17
1050,tomorrow,r,93.16
1051,step,v,92.92
1052,positive,j,92.87
1053,form,v,92.85
1054,citizen,n,92.83
1055,study,v,92.75
1056,trip,n,92.48
1057,establish,v,92.42
1058,executive,n,92.34
1059,politics,n,92.26
1060,stick,v,92.24
1061,customer,n,92.21
1062,manager,n,92.17
1063,rather,i,92.12
1064,publish,v,92.08
1065,popular,j,92.08
1066,sing,v,92.04
1067,ahead,r,91.97
1068,conference,n,91.83
1069,total,j,91.71
1070,discover,v,91.60
1071,fast,r,91.60
1072,base,n,91.55
1073,direction,n,91.46
1074,sunday,n,91.41
1075,maintain,v,91.37
1076,past,n,91.31
1077,majority,n,91.18
1078,peace,n,91.15
1079,dinner,n,91.15
1080,partner,n,90.98
1081,user,n,90.98
1082,above,i,90.95
1083,fly,v,90.87
1084,bag,n,90.87
1085,therefore,r,90.61
1086,rich,j,90.34
1087,individual,j,90.32
1088,tough,j,90.24
1089,owner,n,90.24
1090,shall,v,90.21
1091,inside,i,90.12
1092,voter,n,89.87
1093,tool,n,89.86
1094,june,n,89.86
1095,far,j,89.70
1096,may,n,89.62
1097,mountain,n,89.61
1098,range,n,89.52
1099,coach,n,89.45
1100,fear,n,89.35
1101,friday,n,89.25
1102,attorney,n,89.24
1103,unless,c,89.23
1104,nor,c,89.05
1105,expert,n,88.75
1106,structure,n,88.73
1107,budget,n,88.70
1108,insurance,n,88.65
1109,text,n,88.43
1110,freedom,n,88.42
1111,crazy,j,88.42
1112,reader,n,88.04
1113,style,n,87.86
1114,through,r,87.85
1115,march,n,87.83
1116,machine,n,87.77
1117,november,n,87.72
1118,generation,n,87.68
1119,income,n,87.51
1120,born,v,87.44
1121,admit,v,87.24
1122,hello,u,87.22
1123,onto,i,87.21
1124,sea,n,87.15
1125,okay,j,87.14
